"Retour Liste ""Tables paramètres"" ";;;;;
"Code état
COETAGES";"Canal
COCANEXT";;;;
BALCAI;FCA;;PM Etat Canaux (TC1RCEX);;
BALCMN;FCA;;Libellé colonne;Nom colonne;Format DB2
BALCRM;FCA;;Code état;COETAGES;CHAR(6)
BALCUE;FCU;;Code canal extraction;COCANEXT;CHAR(3)
BALCUE;MSC;;;;
BALRSI;FCU;;;;
BALSCT;AFF;;;;
BALSCT;CRE;;;;
BALSCT;CTR;;;;
BALVEN;FSC;;;;
COAARV;AFF;;;;
COAARV;CRE;;;;
COAARV;SA1;;;;
COAENC;AFF;;;;
COAENC;SA2;;;;
COCARV;AFF;;;;
COCARV;CRE;;;;
COCARV;SA1;QC 23127;;;
COCENC;AFF;;;;
COCENC;SA2;QC 23127;;;
COTAGS;AFF;;;;
COXDEC;CRE;;;;
COXENC;AFF;;;;
CPTAJU;AFF;;;;
CPTAJU;FSC;;;;
CPTARV;CRE;;;;
CPTARV;CTR;;;;
CPTCDL;AFF;;;;
CPTCDL;CDL;;;;
CPTCDL;CRE;;;;
CPTCDL;SA1;;;;
CPTCDL;CTR;;;;
CPTENC;AFF;;;;
CPTENC;FSC;;;;
CPTENC;MSS;;;;
CPTNOR;AFF;;;;
CPTNOR;CDL;;;;
CPTNOR;CRE;;;;
CPTNOR;SA1;;;;
CPTNOR;CTR;;;;
FRASRC;AFF;;;;
JOUANV;VEN;;;;
JOUENC;JOU;;;;
JOUIMP;JOU;;;;
JOURMB;JOU;;;;
JOUVEN;VEN;;;;
LISANM;CRE;;;;
LISANP;CRE;;;;
LISANV;AFF;;;;
LISAPU;AFF;;;;
LISFRA;SA2;;;;
LISFRA;AFF;QC 34044;;;
LISMAN;FCA;;;;
LISRMM;AFF;;;;
LISRMM;CRE;;;;
LISRMP;AFF;;;;
LISRMP;CRE;;;;
LISSCP;FSC;;;;
MAJARV;SA1;;;;
MAJARV;AFF;;;;
MAJARV;CRE;;;;
MAJENC;SA2;;;;
MAJENC;AFF;;;;
PENARV;AFF;;;;
PENARV;SA1;;;;
PENARV;CRE;;;;
PENENC;AFF;;;;
PENENC;SA2;;;;
LISAPU;SA2;QC 35158;;;
CPTAJU;MSS;QC 25255;;;
CPTARV;AFF;QC 22325 / 29487;;;
BALRSI;FCA;QC 19369 - 19390 -18303;;;
BALRCA;FCA;QC 19387;;;
BALRSI;SS1;QC 29456;;;
BALCRM;SS2;QC 29456;;;
BALRCA;SS3;QC 29456;;;
BALRCA;SS4;QC 29456;;;
COAARV;CTR;QC 35540;;;
COCARV;CTR;QC 35540;;;
MAJARV;CTR;QC 35540;;;
PENARV;CTR;QC 35540;;;
